,國文,英文,數學,地理,探索
0,58,94,65,62,73
1,73,92,80,75,92
2,54,78,99,50,72
3,78,62,80,80,68
4,65,66,99,64,85
5,55,53,87,51,69
6,82,94,77,96,81
7,66,56,73,92,62
8,67,64,80,54,64
9,70,66,89,79,95
10,95,64,92,83,66
11,77,92,72,66,66
12,99,80,54,83,53
13,66,77,88,76,52
14,72,55,60,52,81
15,92,91,94,79,54
16,78,52,95,66,96
17,98,64,72,98,98
18,71,66,62,95,69
19,62,87,96,85,93
20,58,59,99,86,83
21,96,59,80,63,68
22,54,96,53,56,51
23,87,85,72,96,95
24,83,79,80,60,95
25,56,66,65,56,67
26,90,64,53,52,64
27,57,62,100,72,75
28,82,77,65,93,68
29,92,51,68,50,93
30,75,86,67,57,75
31,85,64,83,61,77
32,50,77,93,77,57
33,78,77,71,78,97
34,64,78,97,80,63
35,68,87,80,76,78
36,77,55,67,55,64
37,86,97,74,76,77
38,98,50,55,65,89
39,96,51,58,63,62
40,62,77,72,98,71
41,50,66,61,58,87
42,68,77,72,79,58
43,100,93,70,93,69
44,91,54,66,53,59
45,55,89,74,77,76
46,92,57,59,95,76
47,53,96,59,78,71
48,83,54,81,88,52
49,55,73,100,55,99
